Site Url,MedianCookies
http://sandesh.com,1557
https://www.huffingtonpost.in/,999
https://www.dinamalar.com/,877
http://deccanherald.com/,655
https://www.dnaindia.com/,634
https://zeenews.india.com/,612
https://www.jagran.com/,584
https://hindi.news24online.com/,472
https://www.timesnownews.com/,454
http://deccanherald.com,418
http://www.asianage.com/,412
https://www.opindia.com/,393
http://dailyexcelsior.com,375
http://hindustantimes.com/,374
http://www.ians.in/,357
http://economictimes.indiatimes.com/,305
http://www.telegraphindia.com/,302
https://www.india.com/,289
https://www.manoramaonline.com/,282
http://india.com/,278
https://khabar.ndtv.com/,242
https://www.ndtv.com,229
http://oneindia.com,226
http://business-standard.com,223
https://www.dailythanthi.com/,201
https://news.abplive.com/,199
https://aajtak.intoday.in/,196
https://www.wionews.com/,184
https://www.indiatoday.in,180
https://www.eenadu.net/,179
https://www.moneycontrol.com/,176
https://www.rvcj.com/category/news/,175
https://www.businesstoday.in/,174
http://indiatvnews.com,164
http://wionews.com/,156
http://www.mid-day.com,149
https://www.mathrubhumi.com/,149
https://www.gujaratsamachar.com/,138
https://www.newsnation.in/,138
http://thehindubusinessline.com,134
https://www.news18.com/,134
http://deccanchronicle.com,131
http://thehindu.com,129
https://www.livehindustan.com/,129
http://firstpost.com,124
https://www.greatandhra.com/,124
https://www.patrika.com/,122
http://assamtribune.com,122
http://www.catchnews.com,110
https://www.pinkvilla.com/,107
https://www.wisden.com/,104
https://bharat.republicworld.com/,102
http://catchnews.com,99
https://kashmirlife.net/,99
http://amarujala.com,91
https://www.dailyo.in,85
https://indianexpress.com,84
http://dailyo.in,83
http://prabhatkhabar.com,76
https://www.financialexpress.com/,73
https://www.indiatimes.com,72
http://bhaskar.com,64
https://www.news24.com/,64
https://swarajyamag.com/,64
https://andhrajyothy.com/,63
https://theprint.in/,63
http://scoopwhoop.com,62
http://financialexpress.com/,62
http://www.newdelhitimes.com,62
https://hindi.webdunia.com/,60
http://www.thenewsminute.com,58
http://punemirror.indiatimes.com,56
http://bangaloremirror.indiatimes.com,54
http://tribune.com.pk/,53.5
http://thewire.in/,53
https://thewire.in/,52
http://starofmysore.com,51
https://www.punjabkesari.in/,50
http://telanganatoday.com,50
https://mumbaimirror.indiatimes.com/,50
http://livemint.com,49
http://ahmedabadmirror.indiatimes.com,49
http://www.businessinsider.in,45
http://thequint.com,44
http://www.thebetterindia.com,44
http://freepressjournal.in,44
https://thelogicalindian.com/,43
http://republicworld.com/,42
https://www.republicworld.com/,42
http://risingkashmir.com,42
http://greaterkashmir.com,38
http://forbesindia.com,38
http://newstracklive.com,37
http://swarajyamag.com/,36
https://www.outlookindia.com/,36
https://timesofindia.indiatimes.com,33
http://tribuneindia.com,33
https://www.thesangaiexpress.com,31
http://kashmirreader.com,31
http://siasat.com,30
http://www.youthkiawaaz.com,28
http://milligazette.com,23.5
https://www.lokmat.com/,22
https://www.cnbctv18.com/,22
http://leagueofindia.com,22
https://www.newslaundry.com/,19
http://deshabhimani.com/,18
https://www.deshabhimani.com/,18
http://www.fakingnews.com/,17
http://nagpurtoday.in,17
http://scroll.in,15
http://sentinelassam.com,15
http://sinceindependence.com,15
http://topyaps.com,14
https://m.dailyhunt.in/news/,13
http://www.newsonair.nic.in/,12
http://news.statetimes.in,12
http://aninews.in,10
https://www.newslivetv.com/,10
https://www.thestatesman.com/,10
http://headlinesoftoday.com,10
https://www.factchecker.in/,10
https://www.aninews.in,9
http://news4masses.com,9
https://www.dailypioneer.com/,9
https://5abnow.com,9
https://www.bbc.com/hindi,7
https://dainikexpressnews.blogspot.com,5
http://altnews.in,4
http://countercurrents.org/,4
http://www.independent24.com/,4
https://www.altnews.in,4
https://www.countercurrents.org/,4
http://www.ptinews.com/,4
http://timesheadline.com,3
http://socialsamosa.com,3
http://www.timesheadline.com,3
